ip.src,ip.dst,tcp.srcport
192.168.18.4,20.42.65.91,63089
192.168.18.4,185.199.109.153,63091
192.168.18.4,216.58.215.155,63092
192.168.18.4,20.42.65.91,63093
192.168.18.4,20.42.65.91,63897
192.168.18.4,20.42.65.91,63785
192.168.18.4,192.168.18.1,65185
192.168.18.4,192.168.18.1,63260
192.168.18.4,48.209.108.35,63261
192.168.18.4,216.58.212.99,64713
192.168.18.4,142.250.185.4,55019
192.168.18.4,66.102.1.84,57031
192.168.18.4,142.250.184.10,60867
192.168.18.4,142.250.185.14,57085
192.168.18.4,66.102.1.84,51997
192.168.18.4,216.58.215.170,61567
192.168.18.4,142.250.185.1,51955
192.168.18.4,142.250.184.10,61264
192.168.18.4,142.250.178.174,62148
192.168.18.4,142.250.184.14,52682
192.168.18.4,104.18.38.236,50903
192.168.18.4,142.250.185.1,56724
192.168.18.4,142.250.184.2,51647
192.168.18.4,216.239.34.157,54149
192.168.18.4,142.250.184.168,54661
192.168.18.4,216.239.34.157,51429
192.168.18.4,142.250.184.14,61899
192.168.18.4,216.239.34.157,57682
192.168.18.4,216.239.34.157,57286
192.168.18.4,216.58.215.138,64320
192.168.18.4,216.239.34.157,53809
192.168.18.4,3.174.180.114,61702
192.168.18.4,3.174.180.114,49972
192.168.18.4,18.154.56.52,50363
192.168.18.4,18.154.56.52,63867
192.168.18.4,3.174.180.114,49602
192.168.18.4,192.168.18.1,61493
192.168.18.4,192.168.18.1,58913
192.168.18.4,192.168.18.1,60706
192.168.18.4,192.168.18.1,57647
192.168.18.4,192.168.18.1,57919
192.168.18.4,192.168.18.1,53100
192.168.18.4,192.168.18.1,55448
192.168.18.4,192.168.18.1,57731
192.168.18.4,192.168.18.1,51951
192.168.18.4,192.168.18.1,59972
192.168.18.4,192.168.18.1,51343
192.168.18.4,52.222.132.29,54141
192.168.18.4,13.224.83.41,56510
192.168.18.4,142.250.184.168,55013
192.168.18.4,192.168.18.1,50365
192.168.18.4,192.168.18.1,53073
192.168.18.4,142.250.185.10,51130
192.168.18.4,192.168.18.1,50782
192.168.18.4,192.168.18.1,56803
192.168.18.4,192.168.18.1,54469
192.168.18.4,192.168.18.1,50366
192.168.18.4,192.168.18.1,52140
192.168.18.4,192.168.18.1,62029
192.168.18.4,192.168.18.1,49556
192.168.18.4,192.168.18.1,52422
192.168.18.4,52.58.107.174,61139
192.168.18.4,18.154.20.154,55079
192.168.18.4,34.143.73.2,63264
192.168.18.4,192.168.18.1,65259
192.168.18.4,192.168.18.1,62947
192.168.18.4,18.154.20.154,51065
192.168.18.4,13.224.83.18,60978
192.168.18.4,192.168.18.1,53582
192.168.18.4,192.168.18.1,56125
192.168.18.4,192.168.18.1,52107
192.168.18.4,192.168.18.1,53339
192.168.18.4,192.168.18.1,57369
192.168.18.4,192.168.18.1,58817
192.168.18.4,3.174.180.60,60628
192.168.18.4,192.168.18.1,49975
192.168.18.4,192.168.18.1,61287
192.168.18.4,3.174.180.78,57545
192.168.18.4,18.154.48.82,52768
192.168.18.4,37.157.5.86,50367
192.168.18.4,192.168.18.1,52518
192.168.18.4,192.168.18.1,62899
192.168.18.4,192.168.18.1,52838
192.168.18.4,192.168.18.1,64623
192.168.18.4,104.18.35.13,53217
192.168.18.4,192.168.18.1,65087
192.168.18.4,192.168.18.1,58303
192.168.18.4,192.168.18.1,61359
192.168.18.4,192.168.18.1,63318
192.168.18.4,192.168.18.1,63265
192.168.18.4,192.168.18.1,51285
192.168.18.4,3.174.180.104,50918
192.168.18.4,18.154.29.85,53572
192.168.18.4,13.224.83.22,51655
192.168.18.4,172.217.17.14,60146
192.168.18.4,192.168.18.1,49557
192.168.18.4,192.168.18.1,59012
192.168.18.4,34.107.254.252,59390
192.168.18.4,192.168.18.1,61787
192.168.18.4,192.168.18.1,52814
192.168.18.4,192.168.18.1,54992
192.168.18.4,192.168.18.1,65257
192.168.18.4,91.134.34.12,49558
192.168.18.4,104.19.219.32,55852
192.168.18.4,192.168.18.1,63787
192.168.18.4,192.168.18.1,50368
192.168.18.4,192.168.18.1,49978
192.168.18.4,192.168.18.1,50369
192.168.18.4,192.168.18.1,62166
192.168.18.4,192.168.18.1,58707
192.168.18.4,66.102.1.92,49559
192.168.18.4,142.250.184.163,60469
192.168.18.4,192.168.18.1,60441
192.168.18.4,192.168.18.1,59740
192.168.18.4,192.168.18.1,65525
192.168.18.4,192.168.18.1,51863
192.168.18.4,192.168.18.1,63585
192.168.18.4,64.233.184.188,63530
192.168.18.4,142.251.208.227,55539
192.168.18.4,142.251.208.227,50947
192.168.18.4,192.168.18.1,63601
192.168.18.4,192.168.18.1,62906
192.168.18.4,91.134.35.216,49568
192.168.18.4,192.168.18.1,53810
192.168.18.4,192.168.18.1,53773
192.168.18.4,192.168.18.1,54466
192.168.18.4,192.168.18.1,49558
192.168.18.4,3.174.180.67,57410
192.168.18.4,18.154.48.82,54585
192.168.18.4,3.174.180.60,50691
192.168.18.4,192.168.18.1,55108
192.168.18.4,192.168.18.1,58198
192.168.18.4,13.224.83.48,51472
192.168.18.4,192.168.18.1,51719
192.168.18.4,192.168.18.1,57098
192.168.18.4,151.101.130.207,56109
