ip.src,ip.dst,tcp.srcport
192.168.10.14,65.55.44.109,59135
192.168.10.19,192.168.10.3,32791
192.168.10.19,192.168.10.3,32791
192.168.10.19,192.168.10.3,32792
192.168.10.19,192.168.10.3,32792
192.168.10.19,192.168.10.3,41567
192.168.10.19,192.168.10.3,41567
192.168.10.19,192.168.10.3,32794
192.168.10.19,192.168.10.3,32794
192.168.10.19,192.168.10.3,41569
192.168.10.19,192.168.10.3,41569
192.168.10.19,192.168.10.3,32798
192.168.10.19,192.168.10.3,32798
192.168.10.19,192.168.10.3,44766
192.168.10.19,192.168.10.3,44766
192.168.10.19,192.168.10.3,41574
192.168.10.19,192.168.10.3,41574
192.168.10.12,192.168.10.3,34930
192.168.10.12,192.168.10.3,34930
192.168.10.12,192.168.10.3,34932
192.168.10.12,192.168.10.3,34932
192.168.10.12,192.168.10.3,44256
192.168.10.12,192.168.10.3,44256
192.168.10.50,192.168.10.3,33908
192.168.10.50,192.168.10.3,33908
192.168.10.12,192.168.10.3,34936
192.168.10.12,192.168.10.3,34936
192.168.10.12,192.168.10.3,34828
192.168.10.12,192.168.10.3,34828
192.168.10.12,192.168.10.3,44262
192.168.10.12,192.168.10.3,44262
192.168.10.50,192.168.10.3,59704
192.168.10.50,192.168.10.3,59704
192.168.10.15,192.168.10.3,49412
192.168.10.15,192.168.10.3,49412
192.168.10.15,192.168.10.3,49413
192.168.10.15,192.168.10.3,49413
192.168.10.15,192.168.10.3,49414
192.168.10.15,192.168.10.3,49414
192.168.10.15,192.168.10.3,49415
192.168.10.15,192.168.10.3,49415
192.168.10.15,192.168.10.3,49416
192.168.10.15,192.168.10.3,49416
192.168.10.15,192.168.10.3,49417
192.168.10.15,192.168.10.3,49417
192.168.10.15,192.168.10.3,49418
192.168.10.15,192.168.10.3,49418
192.168.10.15,192.168.10.3,49419
192.168.10.15,192.168.10.3,49419
192.168.10.15,192.168.10.3,49420
192.168.10.15,192.168.10.3,49420
192.168.10.15,192.168.10.3,49421
192.168.10.15,192.168.10.3,49421
192.168.10.15,192.168.10.3,49422
192.168.10.15,192.168.10.3,49422
192.168.10.12,192.168.10.3,34942
192.168.10.12,192.168.10.3,34942
192.168.10.15,192.168.10.3,49425
192.168.10.15,192.168.10.3,49425
192.168.10.15,192.168.10.3,49426
192.168.10.15,192.168.10.3,49426
192.168.10.8,192.168.10.3,49155
192.168.10.8,192.168.10.3,49155
192.168.10.8,192.168.10.3,49156
192.168.10.8,192.168.10.3,49156
192.168.10.8,192.168.10.3,49157
192.168.10.8,192.168.10.3,49157
192.168.10.8,192.168.10.3,49158
192.168.10.8,192.168.10.3,49158
192.168.10.8,192.168.10.3,49159
192.168.10.8,192.168.10.3,49159
192.168.10.8,192.168.10.3,49160
192.168.10.8,192.168.10.3,49160
192.168.10.8,192.168.10.3,49161
192.168.10.8,192.168.10.3,49161
192.168.10.8,192.168.10.3,49162
192.168.10.8,192.168.10.3,49162
192.168.10.8,192.168.10.3,49164
192.168.10.8,192.168.10.3,49164
192.168.10.8,192.168.10.3,49165
192.168.10.8,192.168.10.3,49165
192.168.10.8,192.168.10.3,49166
192.168.10.8,192.168.10.3,49166
192.168.10.8,192.168.10.3,49167
192.168.10.8,192.168.10.3,49167
192.168.10.8,192.168.10.3,49168
192.168.10.8,192.168.10.3,49168
192.168.10.8,192.168.10.3,49169
192.168.10.8,192.168.10.3,49169
192.168.10.8,192.168.10.3,49170
192.168.10.8,192.168.10.3,49170
192.168.10.8,192.168.10.3,49171
192.168.10.8,192.168.10.3,49171
192.168.10.8,192.168.10.3,49172
192.168.10.8,192.168.10.3,49172
192.168.10.8,192.168.10.3,49173
192.168.10.8,192.168.10.3,49173
192.168.10.8,192.168.10.3,49174
192.168.10.8,192.168.10.3,49174
192.168.10.8,192.168.10.3,49175
192.168.10.8,192.168.10.3,49175
192.168.10.50,192.168.10.3,59708
192.168.10.50,192.168.10.3,59708
192.168.10.15,192.168.10.3,49428
192.168.10.15,192.168.10.3,49428
192.168.10.15,192.168.10.3,49429
192.168.10.15,192.168.10.3,49429
192.168.10.15,192.168.10.3,49430
192.168.10.15,192.168.10.3,49430
192.168.10.15,192.168.10.3,49431
192.168.10.15,192.168.10.3,49431
192.168.10.15,192.168.10.3,49432
192.168.10.15,192.168.10.3,49432
192.168.10.15,192.168.10.3,49433
192.168.10.15,192.168.10.3,49433
192.168.10.15,192.168.10.3,49434
192.168.10.15,192.168.10.3,49434
192.168.10.15,192.168.10.3,49435
192.168.10.15,192.168.10.3,49435
192.168.10.15,192.168.10.3,49436
192.168.10.15,192.168.10.3,49436
192.168.10.15,192.168.10.3,49437
192.168.10.15,192.168.10.3,49437
192.168.10.15,192.168.10.3,49438
192.168.10.15,192.168.10.3,49438
192.168.10.15,131.253.61.98,49439
192.168.10.8,192.168.10.3,49177
192.168.10.8,192.168.10.3,49177
192.168.10.8,192.168.10.3,49178
192.168.10.8,192.168.10.3,49178
192.168.10.8,192.168.10.3,49179
192.168.10.8,192.168.10.3,49179
192.168.10.8,192.168.10.3,49180
192.168.10.8,192.168.10.3,49180
192.168.10.8,192.168.10.3,49181
192.168.10.8,192.168.10.3,49181
192.168.10.15,131.253.61.98,49440
192.168.10.15,23.63.226.146,49441
192.168.10.15,23.60.139.27,49442
192.168.10.14,192.168.10.50,59136
192.168.10.14,192.168.10.50,59136
192.168.10.14,192.168.10.50,59137
192.168.10.14,192.168.10.50,59137
192.168.10.15,64.4.54.253,49443
192.168.10.9,192.168.10.3,1028
192.168.10.9,192.168.10.3,1028
192.168.10.9,192.168.10.3,1029
192.168.10.9,192.168.10.3,1029
192.168.10.9,192.168.10.3,1030
192.168.10.9,192.168.10.3,1030
192.168.10.9,192.168.10.3,1031
192.168.10.9,192.168.10.3,1031
192.168.10.9,192.168.10.3,1032
192.168.10.9,192.168.10.3,1032
192.168.10.9,192.168.10.3,1033
192.168.10.9,192.168.10.3,1033
192.168.10.9,192.168.10.3,1034
192.168.10.9,192.168.10.3,1034
192.168.10.9,192.168.10.3,1035
192.168.10.9,192.168.10.3,1035
192.168.10.9,192.168.10.3,1036
192.168.10.9,192.168.10.3,1036
192.168.10.5,192.168.10.3,49157
192.168.10.5,192.168.10.3,49157
192.168.10.5,192.168.10.3,49158
192.168.10.5,192.168.10.3,49158
192.168.10.5,192.168.10.3,49159
192.168.10.5,192.168.10.3,49159
192.168.10.5,192.168.10.3,49160
192.168.10.5,192.168.10.3,49160
192.168.10.5,192.168.10.3,49161
192.168.10.5,192.168.10.3,49161
192.168.10.5,192.168.10.3,49162
192.168.10.5,192.168.10.3,49162
192.168.10.5,192.168.10.3,49163
192.168.10.5,192.168.10.3,49163
192.168.10.5,192.168.10.3,49165
192.168.10.5,192.168.10.3,49165
192.168.10.5,192.168.10.3,49166
192.168.10.5,192.168.10.3,49166
192.168.10.5,192.168.10.3,49167
192.168.10.5,192.168.10.3,49167
192.168.10.5,192.168.10.3,49168
192.168.10.5,192.168.10.3,49168
192.168.10.5,192.168.10.3,49169
192.168.10.5,192.168.10.3,49169
192.168.10.5,192.168.10.3,49170
192.168.10.5,192.168.10.3,49170
192.168.10.5,192.168.10.3,49171
192.168.10.5,192.168.10.3,49171
192.168.10.5,192.168.10.3,49172
192.168.10.5,192.168.10.3,49172
192.168.10.5,192.168.10.3,49173
192.168.10.5,192.168.10.3,49173
192.168.10.5,192.168.10.3,49174
192.168.10.5,192.168.10.3,49174
192.168.10.5,192.168.10.3,49175
192.168.10.5,192.168.10.3,49175
192.168.10.5,192.168.10.3,49176
192.168.10.5,192.168.10.3,49176
192.168.10.5,192.168.10.3,49177
192.168.10.5,192.168.10.3,49177
192.168.10.15,157.55.240.89,49444
192.168.10.15,131.253.61.98,49445
192.168.10.14,184.50.238.233,59142
192.168.10.15,64.4.54.254,49446
192.168.10.15,134.170.51.247,49447
192.168.10.14,52.11.17.245,59143
192.168.10.14,52.10.50.117,59144
192.168.10.14,52.10.50.117,59145
192.168.10.14,72.21.91.29,59146
192.168.10.14,72.21.91.29,59147
192.168.10.14,72.21.91.29,59148
192.168.10.14,72.21.91.29,59149
192.168.10.14,72.21.91.29,59150
192.168.10.14,23.15.4.17,59151
192.168.10.14,23.15.4.17,59152
192.168.10.14,52.84.26.182,59153
192.168.10.15,23.15.4.16,49448
192.168.10.5,157.55.240.89,49178
192.168.10.5,23.63.226.169,49179
192.168.10.5,65.55.242.254,49180
192.168.10.5,65.55.242.254,49181
192.168.10.15,23.207.50.189,49449
192.168.10.14,172.217.17.110,59154
192.168.10.15,64.4.54.98,49450
192.168.10.14,74.125.29.108,59155
192.168.10.14,172.217.10.14,59156
192.168.10.5,65.55.242.254,49182
192.168.10.15,23.199.172.161,49451
192.168.10.14,172.217.12.174,59157
192.168.10.15,13.107.4.50,49452
192.168.10.5,192.168.10.3,49184
192.168.10.5,192.168.10.3,49184
192.168.10.5,192.168.10.3,49185
192.168.10.5,192.168.10.3,49185
192.168.10.5,192.168.10.3,49186
192.168.10.5,192.168.10.3,49186
192.168.10.5,192.168.10.3,49187
192.168.10.5,192.168.10.3,49187
192.168.10.5,192.168.10.3,49188
192.168.10.5,192.168.10.3,49188
192.168.10.14,54.200.60.113,59158
192.168.10.14,72.21.91.29,59159
192.168.10.5,65.55.242.254,49189
192.168.10.5,65.55.242.254,49190
192.168.10.5,65.55.242.254,49191
192.168.10.5,23.15.4.17,49192
192.168.10.50,192.168.10.3,59710
192.168.10.50,192.168.10.3,59710
192.168.10.9,192.168.10.3,1038
192.168.10.9,192.168.10.3,1038
192.168.10.9,192.168.10.3,1039
192.168.10.9,192.168.10.3,1039
192.168.10.9,192.168.10.3,1040
192.168.10.9,192.168.10.3,1040
192.168.10.5,184.84.243.216,49193
192.168.10.9,192.168.10.3,1043
192.168.10.9,192.168.10.3,1043
192.168.10.9,192.168.10.3,1044
192.168.10.9,192.168.10.3,1044
192.168.10.9,192.168.10.3,1045
192.168.10.9,192.168.10.3,1045
192.168.10.9,192.168.10.3,1046
192.168.10.9,192.168.10.3,1046
192.168.10.9,192.168.10.3,1047
192.168.10.9,192.168.10.3,1047
