frame.number,ip.src,ip.dst,tcp.srcport
1,192.168.10.14,65.55.44.109,59135
2,192.168.10.19,192.168.10.3,32791
3,192.168.10.19,192.168.10.3,32791
4,192.168.10.19,192.168.10.3,32792
5,192.168.10.19,192.168.10.3,32792
6,192.168.10.19,192.168.10.3,41567
7,192.168.10.19,192.168.10.3,41567
8,192.168.10.19,192.168.10.3,32794
9,192.168.10.19,192.168.10.3,32794
10,192.168.10.19,192.168.10.3,41569
11,192.168.10.19,192.168.10.3,41569
12,192.168.10.19,192.168.10.3,32798
13,192.168.10.19,192.168.10.3,32798
14,192.168.10.19,192.168.10.3,44766
15,192.168.10.19,192.168.10.3,44766
16,192.168.10.19,192.168.10.3,41574
17,192.168.10.19,192.168.10.3,41574
18,192.168.10.12,192.168.10.3,34930
19,192.168.10.12,192.168.10.3,34930
20,192.168.10.12,192.168.10.3,34932
21,192.168.10.12,192.168.10.3,34932
22,192.168.10.12,192.168.10.3,44256
23,192.168.10.12,192.168.10.3,44256
24,192.168.10.50,192.168.10.3,33908
25,192.168.10.50,192.168.10.3,33908
26,192.168.10.12,192.168.10.3,34936
27,192.168.10.12,192.168.10.3,34936
28,192.168.10.12,192.168.10.3,34828
29,192.168.10.12,192.168.10.3,34828
30,192.168.10.12,192.168.10.3,44262
31,192.168.10.12,192.168.10.3,44262
32,192.168.10.50,192.168.10.3,59704
33,192.168.10.50,192.168.10.3,59704
34,192.168.10.15,192.168.10.3,49412
35,192.168.10.15,192.168.10.3,49412
36,192.168.10.15,192.168.10.3,49413
37,192.168.10.15,192.168.10.3,49413
38,192.168.10.15,192.168.10.3,49414
39,192.168.10.15,192.168.10.3,49414
40,192.168.10.15,192.168.10.3,49415
41,192.168.10.15,192.168.10.3,49415
42,192.168.10.15,192.168.10.3,49416
43,192.168.10.15,192.168.10.3,49416
44,192.168.10.15,192.168.10.3,49417
45,192.168.10.15,192.168.10.3,49417
46,192.168.10.15,192.168.10.3,49418
47,192.168.10.15,192.168.10.3,49418
48,192.168.10.15,192.168.10.3,49419
49,192.168.10.15,192.168.10.3,49419
50,192.168.10.15,192.168.10.3,49420
51,192.168.10.15,192.168.10.3,49420
52,192.168.10.15,192.168.10.3,49421
53,192.168.10.15,192.168.10.3,49421
54,192.168.10.15,192.168.10.3,49422
55,192.168.10.15,192.168.10.3,49422
56,192.168.10.12,192.168.10.3,34942
57,192.168.10.12,192.168.10.3,34942
58,192.168.10.15,192.168.10.3,49425
59,192.168.10.15,192.168.10.3,49425
60,192.168.10.15,192.168.10.3,49426
61,192.168.10.15,192.168.10.3,49426
62,192.168.10.8,192.168.10.3,49155
63,192.168.10.8,192.168.10.3,49155
64,192.168.10.8,192.168.10.3,49156
65,192.168.10.8,192.168.10.3,49156
66,192.168.10.8,192.168.10.3,49157
67,192.168.10.8,192.168.10.3,49157
68,192.168.10.8,192.168.10.3,49158
69,192.168.10.8,192.168.10.3,49158
70,192.168.10.8,192.168.10.3,49159
71,192.168.10.8,192.168.10.3,49159
72,192.168.10.8,192.168.10.3,49160
73,192.168.10.8,192.168.10.3,49160
74,192.168.10.8,192.168.10.3,49161
75,192.168.10.8,192.168.10.3,49161
76,192.168.10.8,192.168.10.3,49162
77,192.168.10.8,192.168.10.3,49162
78,192.168.10.8,192.168.10.3,49164
79,192.168.10.8,192.168.10.3,49164
80,192.168.10.8,192.168.10.3,49165
